,Situation,Population,Clusters,Agents,Theta,Epochs,Migration,Time,Cost
0,unbalanced_big_big,2,100,90,0.007853981633974483,10,0.25,0.03662018775939942,2.5571160316467285
1,unbalanced_big_big,2,100,90,0.007853981633974483,10,0.5,0.03417825698852539,2.5285754203796387
2,unbalanced_big_big,2,100,90,0.007853981633974483,10,0.75,0.03418867588043213,2.5571160316467285
3,unbalanced_big_big,2,100,90,0.007853981633974483,20,0.25,0.03314188718795776,2.5283353328704834
4,unbalanced_big_big,2,100,90,0.007853981633974483,20,0.5,0.03407353162765503,2.4094133377075195
5,unbalanced_big_big,2,100,90,0.007853981633974483,20,0.75,0.032861852645874025,2.5571160316467285
6,unbalanced_big_big,2,100,90,0.007853981633974483,50,0.25,0.034372110366821286,2.5571160316467285
7,unbalanced_big_big,2,100,90,0.007853981633974483,50,0.5,0.03424781322479248,2.4523112773895264
8,unbalanced_big_big,2,100,90,0.007853981633974483,50,0.75,0.03522133350372315,2.5571160316467285
9,unbalanced_big_big,2,100,90,0.031415926535897934,10,0.25,0.03471319675445557,2.5571160316467285
10,unbalanced_big_big,2,100,90,0.031415926535897934,10,0.5,0.035308551788330075,2.5098772048950195
11,unbalanced_big_big,2,100,90,0.031415926535897934,10,0.75,0.032608962059020995,2.5571160316467285
12,unbalanced_big_big,2,100,90,0.031415926535897934,20,0.25,0.038622152805328366,2.4829540252685547
13,unbalanced_big_big,2,100,90,0.031415926535897934,20,0.5,0.03971620798110962,2.4739885330200195
14,unbalanced_big_big,2,100,90,0.031415926535897934,20,0.75,0.036502397060394286,2.4906868934631348
15,unbalanced_big_big,2,100,90,0.031415926535897934,50,0.25,0.04754767417907715,2.5571160316467285
16,unbalanced_big_big,2,100,90,0.031415926535897934,50,0.5,0.050117783546447754,2.4520368576049805
17,unbalanced_big_big,2,100,90,0.031415926535897934,50,0.75,0.05377942085266113,2.5571160316467285
18,unbalanced_big_big,2,100,90,0.15707963267948966,10,0.25,0.04506440162658691,2.5571160316467285
19,unbalanced_big_big,2,100,90,0.15707963267948966,10,0.5,0.04746696949005127,2.531157970428467
20,unbalanced_big_big,2,100,90,0.15707963267948966,10,0.75,0.051871728897094724,2.5571160316467285
21,unbalanced_big_big,2,100,90,0.15707963267948966,20,0.25,0.049199604988098146,2.469893217086792
22,unbalanced_big_big,2,100,90,0.15707963267948966,20,0.5,0.05039491653442383,2.4127261638641357
23,unbalanced_big_big,2,100,90,0.15707963267948966,20,0.75,0.04859800338745117,2.519355058670044
24,unbalanced_big_big,2,100,90,0.15707963267948966,50,0.25,0.0471403169631958,2.5571160316467285
25,unbalanced_big_big,2,100,90,0.15707963267948966,50,0.5,0.04671285629272461,2.4095375537872314
26,unbalanced_big_big,2,100,90,0.15707963267948966,50,0.75,0.05710659027099609,2.5571160316467285
27,unbalanced_big_big,5,100,90,0.007853981633974483,10,0.25,0.12023155689239502,2.5571160316467285
